i,id,weight,cost
0,bP,43,71
0,aS,46,71
0,aN,100,71
0,bA,15,71
0,aV,66,71
0,ad,10,71
0,aU,64,71
0,bp,59,71
0,aR,7,71
0,bs,85,71
0,bM,42,71
0,aC,9,71
0,ai,7,71
0,ab,25,71
0,aJ,73,71
0,bl,35,71
0,aB,25,71
0,aF,90,71
0,ar,42,71
0,bB,29,71
0,bu,16,71
0,au,39,71
0,ae,19,71
0,as,88,71
0,br,1,71
0,aK,5,71
0,bv,20,71
0,ah,7,71
0,aj,67,71
0,aY,10,71
0,aX,33,71
0,bF,29,71
0,bb,22,71
0,bH,96,71
0,bQ,66,71
0,bi,12,71
0,aW,71,71
0,by,13,71
0,aa,71,71
0,bD,47,71
0,be,59,71
0,aq,10,71
0,bj,8,71
0,aP,25,71
1,bm,55,58
1,aS,46,58
1,az,56,58
1,aU,64,58
1,ap,5,58
1,aC,9,58
1,bw,25,58
1,bK,29,58
1,bq,91,58
1,ae,19,58
1,br,1,58
1,at,99,58
1,ah,7,58
1,bk,87,58
1,bE,12,58
1,bf,6,58
1,bF,29,58
1,bH,96,58
1,al,76,58
1,by,13,58
1,aW,71,58
1,aL,93,58
1,bS,81,58
1,bh,21,58
1,be,59,58
1,bd,9,58
1,bV,65,58
1,bG,42,58
1,am,83,58
1,aE,32,58
2,ak,87,6
2,bm,55,6
2,bn,14,6
2,an,12,6
2,aw,1,6
2,ag,94,6
2,af,62,6
2,ad,10,6
2,bp,59,6
2,aZ,9,6
2,bL,50,6
2,aR,7,6
2,bs,85,6
2,bx,15,6
2,bM,42,6
2,ab,25,6
2,aB,25,6
2,aF,90,6
2,bB,29,6
2,bN,70,6
2,bq,91,6
2,bU,54,6
2,bv,20,6
2,at,99,6
2,bJ,60,6
2,aK,5,6
2,bR,1,6
2,ah,7,6
2,aQ,63,6
2,bf,6,6
2,bg,97,6
2,bb,22,6
2,bt,30,6
2,bI,20,6
2,aG,35,6
2,ac,75,6
2,bH,96,6
2,bc,89,6
2,by,13,6
2,bS,81,6
2,aO,3,6
2,bD,47,6
2,bj,8,6
2,bV,65,6
2,bG,42,6
2,aP,25,6
2,aE,32,6
3,ak,87,48
3,bm,55,48
3,aH,95,48
3,an,12,48
3,aw,1,48
3,bA,15,48
3,af,62,48
3,aZ,9,48
3,bL,50,48
3,aR,7,48
3,bT,70,48
3,aC,9,48
3,bu,16,48
3,aB,25,48
3,bK,29,48
3,ae,19,48
3,as,88,48
3,bJ,60,48
3,bv,20,48
3,br,1,48
3,bR,1,48
3,aQ,63,48
3,bg,97,48
3,aG,35,48
3,ao,57,48
3,al,76,48
3,aL,93,48
3,bj,8,48
3,aT,95,48
3,bd,9,48
3,bV,65,48
3,bG,42,48
3,aE,32,48
4,ak,87,26
4,bP,43,26
4,aS,46,26
4,aN,100,26
4,aw,1,26
4,az,56,26
4,aU,64,26
4,bp,59,26
4,ap,5,26
4,bL,50,26
4,bs,85,26
4,ai,7,26
4,ab,25,26
4,aB,25,26
4,bq,91,26
4,au,39,26
4,aM,72,26
4,ae,19,26
4,as,88,26
4,aD,33,26
4,bU,54,26
4,bv,20,26
4,bR,1,26
4,bE,12,26
4,bz,99,26
4,aj,67,26
4,aQ,63,26
4,ax,26,26
4,bf,6,26
4,aX,33,26
4,bg,97,26
4,ac,75,26
4,ao,57,26
4,aW,71,26
4,by,13,26
4,be,59,26
4,bD,47,26
4,bj,8,26
4,bV,65,26
4,am,83,26
4,aI,90,26
5,ba,6,19
5,aS,46,19
5,an,12,19
5,aE,32,19
5,aU,64,19
5,bs,85,19
5,bT,70,19
5,bM,42,19
5,bx,15,19
5,bw,25,19
5,bl,35,19
5,aB,25,19
5,au,39,19
5,aD,33,19
5,br,1,19
5,aK,5,19
5,bk,87,19
5,bz,99,19
5,bf,6,19
5,aX,33,19
5,bg,97,19
5,bF,29,19
5,bt,30,19
5,aG,35,19
5,bi,12,19
5,aW,71,19
5,bS,81,19
5,aO,3,19
5,be,59,19
5,av,97,19
5,bj,8,19
5,am,83,19
5,aI,90,19
6,aA,37,89
6,aH,95,89
6,aN,100,89
6,bA,15,89
6,aw,1,89
6,af,62,89
6,az,56,89
6,bC,47,89
6,aZ,9,89
6,ap,5,89
6,ai,7,89
6,bl,35,89
6,aF,90,89
6,bq,91,89
6,at,99,89
6,bJ,60,89
6,bv,20,89
6,aK,5,89
6,ah,7,89
6,bz,99,89
6,aY,10,89
6,bf,6,89
6,bF,29,89
6,bb,22,89
6,bQ,66,89
6,bt,30,89
6,aW,71,89
6,al,76,89
6,aa,71,89
6,by,13,89
6,av,97,89
6,aq,10,89
6,aP,25,89
6,am,83,89
6,aE,32,89
7,ba,6,94
7,aA,37,94
7,bm,55,94
7,bn,14,94
7,ad,10,94
7,bC,47,94
7,aU,64,94
7,aZ,9,94
7,bs,85,94
7,bT,70,94
7,aC,9,94
7,ab,25,94
7,bw,25,94
7,aF,90,94
7,bN,70,94
7,bq,91,94
7,bK,29,94
7,au,39,94
7,as,88,94
7,aD,33,94
7,bv,20,94
7,aK,5,94
7,bk,87,94
7,bz,99,94
7,aX,33,94
7,bH,96,94
7,bI,20,94
7,bQ,66,94
7,bt,30,94
7,bc,89,94
7,ac,75,94
7,ao,57,94
7,bi,12,94
7,al,76,94
7,aW,71,94
7,aa,71,94
7,be,59,94
7,av,97,94
7,aP,25,94
7,bO,67,94
8,aH,95,44
8,az,56,44
8,ap,5,44
8,bx,15,44
8,aB,25,44
8,bB,29,44
8,bq,91,44
8,ae,19,44
8,bU,54,44
8,aD,33,44
8,br,1,44
8,ah,7,44
8,aY,10,44
8,bg,97,44
8,bH,96,44
8,bi,12,44
8,bS,81,44
8,aa,71,44
8,aO,3,44
8,aI,90,44
9,ba,6,90
9,bP,43,90
9,aS,46,90
9,aN,100,90
9,ag,94,90
9,az,56,90
9,bL,50,90
9,ab,25,90
9,bw,25,90
9,bl,35,90
9,bu,16,90
9,bK,29,90
9,bv,20,90
9,at,99,90
9,ah,7,90
9,bk,87,90
9,aY,10,90
9,ax,26,90
9,bt,30,90
9,aG,35,90
9,bQ,66,90
9,bI,20,90
9,ao,57,90
9,bi,12,90
9,by,13,90
9,aW,71,90
9,bS,81,90
9,aL,93,90
9,bh,21,90
9,bD,47,90
9,av,97,90
9,ay,63,90
10,bP,43,100
10,aH,95,100
10,an,12,100
10,aw,1,100
10,bA,15,100
10,af,62,100
10,aV,66,100
10,ag,94,100
10,bp,59,100
10,bC,47,100
10,bL,50,100
10,bT,70,100
10,ab,25,100
10,aB,25,100
10,bK,29,100
10,aM,72,100
10,au,39,100
10,aD,33,100
10,at,99,100
10,bJ,60,100
10,aK,5,100
10,bR,1,100
10,bk,87,100
10,bE,12,100
10,aj,67,100
10,bf,6,100
10,aX,33,100
10,bb,22,100
10,bH,96,100
10,aG,35,100
10,ac,75,100
10,bt,30,100
10,bi,12,100
10,by,13,100
10,bh,21,100
10,bD,47,100
10,be,59,100
10,aT,95,100
10,bd,9,100
10,bV,65,100
10,aP,25,100
10,bO,67,100
10,aI,90,100
11,bm,55,87
11,aH,95,87
11,bn,14,87
11,af,62,87
11,ad,10,87
11,bp,59,87
11,bC,47,87
11,bL,50,87
11,bs,85,87
11,bM,42,87
11,ab,25,87
11,aF,90,87
11,bK,29,87
11,bq,91,87
11,aM,72,87
11,as,88,87
11,aD,33,87
11,aK,5,87
11,bR,1,87
11,bk,87,87
11,bE,12,87
11,bz,99,87
11,bo,3,87
11,aj,67,87
11,ax,26,87
11,bg,97,87
11,bt,30,87
11,bc,89,87
11,ao,57,87
11,bi,12,87
11,al,76,87
11,aW,71,87
11,bh,21,87
11,be,59,87
11,aq,10,87
11,bd,9,87
11,aP,25,87
11,aI,90,87
12,aN,100,63
12,aw,1,63
12,az,56,63
12,bp,59,63
12,aR,7,63
12,ab,25,63
12,bK,29,63
12,aD,33,63
12,bv,20,63
12,bR,1,63
12,bE,12,63
12,aQ,63,63
12,aX,33,63
12,bQ,66,63
12,aG,35,63
12,bi,12,63
12,aa,71,63
12,aq,10,63
12,bO,67,63
12,ay,63,63
13,bm,55,44
13,aH,95,44
13,an,12,44
13,bA,15,44
13,aV,66,44
13,az,56,44
13,bC,47,44
13,aZ,9,44
13,aR,7,44
13,bs,85,44
13,aC,9,44
13,as,88,44
13,bv,20,44
13,bz,99,44
13,ax,26,44
13,bg,97,44
13,aL,93,44
13,bD,47,44
13,bj,8,44
13,bO,67,44
14,ak,87,94
14,aA,37,94
14,bP,43,94
14,bm,55,94
14,ag,94,94
14,aV,66,94
14,aE,32,94
14,aU,64,94
14,bp,59,94
14,aZ,9,94
14,bL,50,94
14,aR,7,94
14,aC,9,94
14,bM,42,94
14,ai,7,94
14,ab,25,94
14,aJ,73,94
14,bu,16,94
14,bl,35,94
14,ar,42,94
14,aB,25,94
14,bq,91,94
14,aD,33,94
14,bE,12,94
14,bo,3,94
14,ax,26,94
14,bf,6,94
14,bg,97,94
14,bF,29,94
14,bb,22,94
14,bt,30,94
14,bc,89,94
14,by,13,94
14,bS,81,94
14,aL,93,94
14,aT,95,94
14,bd,9,94
14,bG,42,94
14,aI,90,94
15,bP,43,74
15,ag,94,74
15,aU,64,74
15,bL,50,74
15,ai,7,74
15,aJ,73,74
15,aB,25,74
15,bK,29,74
15,bq,91,74
15,as,88,74
15,bv,20,74
15,at,99,74
15,bR,1,74
15,ah,7,74
15,bo,3,74
15,aj,67,74
15,aQ,63,74
15,by,13,74
15,bj,8,74
15,bV,65,74
15,aI,90,74
16,aH,95,86
16,aN,100,86
16,aV,66,86
16,az,56,86
16,bp,59,86
16,ap,5,86
16,bM,42,86
16,bw,25,86
16,bu,16,86
16,ar,42,86
16,bB,29,86
16,br,1,86
16,bJ,60,86
16,bz,99,86
16,bo,3,86
16,aQ,63,86
16,aX,33,86
16,bg,97,86
16,bF,29,86
16,bt,30,86
16,aG,35,86
16,ac,75,86
16,by,13,86
16,aL,93,86
16,bj,8,86
16,bV,65,86
16,bG,42,86
16,bO,67,86
16,aE,32,86
17,ak,87,41
17,bP,43,41
17,bm,55,41
17,aH,95,41
17,bn,14,41
17,aN,100,41
17,aw,1,41
17,af,62,41
17,ag,94,41
17,aV,66,41
17,bC,47,41
17,bL,50,41
17,aR,7,41
17,ap,5,41
17,bs,85,41
17,bM,42,41
17,ab,25,41
17,aJ,73,41
